If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Lean IT is all about people - o Lean na TI é focado em pessoas
15 Awesome Sublime Text Plugins For Web Development,Aplicação de visão computacional com OpenCV,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro","Autofill: What web devs should know, but don't",Acesse a versão Material Design do YouTube | Google Discovery,Most Interesting APIs in 2016: Cognitive Computing
Why Evernote Is Giving Up on Its Data Centers for Google Cloud,New settings for 2-Step Verification,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Artificial intelligence is changing SEO faster than you think,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
The technology behind preview photos,Evernote anuncia integração com Google Drive | Google Discovery,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,The Ten Commandments of Egoless Programming,gotwarlost/istanbul
Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,The Business Case for Progressive Web Apps
"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Especial: O papel dos grandes provedores de TI na Rio 2016,Assessing Salesforce's platform and ecosystem | ZDNet,Resenha - A Chegada
Nova pulseira tecnológica avisa se você já bebeu demais,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,1º Congresso Brasileiro de IoT - Embarcados,Aplicação de visão computacional com OpenCV,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,Making open source data more available,The AI business landscape,Goodbye accountants! Startup builds AI to automate all your accounting,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
"Within a Decade, Retail Banks will be Dead",Here's proof that Google is getting serious about battling Facebook in a key area,Banking Needs a Customer Experience Wake-Up Call,The AI business landscape,Touch (TV Series 2012-2013),"No, Apple isn't the next BlackBerry - it's the next Microsoft"
Itaú é pioneiro do blockchain,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Confused by blockchains? Revolution vs Evolution,Banking Needs a Customer Experience Wake-Up Call
"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Joel on Software,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",How to Design a Walkthrough That Users Will Read
Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,Why Google App Engine rocks: A Google engineer's take,"Hello, TensorFlow!","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Wide & Deep Learning: Better Together with TensorFlow
Promises | Web Fundamentals - Google Developers,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,19 Tips For Everyday Git Use,You don't talk about refactoring club,What Color is Your Function?
Aposta na inovação,The brilliant mechanics of Pokémon Go,O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,The Physical Web
7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Introduction · Bitcoin para Programadores,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Rating the English Proficiency of Countries and Industries Around the World
WebAssembly Browser Preview,How I sped up the initial render of my Polymer app by 86%,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Acesse a versão Material Design do YouTube | Google Discovery,Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin
When to make a Git Commit,Sam Newman - Backends For Frontends,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Seniority,Dark Scrum,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
What the Google I/O schedule tells us about the future of Android,"Bots, Messenger and the future of customer service",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Designing smart notifications,"Google acquires Synergyse, an interactive training service for Google Apps",Progressive Web App - first introduced on Google I/O | airberlin
"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Introducing Kotlin support in Spring Framework 5.0,Standing on the Shoulders of Giants - Built to Adapt,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull,A digital crack in banking's business model,The Future of Business is Design,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Is FinTech Forcing Banking to a Tipping Point?
Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,SOA com microserviços - Sensedia,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Who sponsors Drupal development? | Dries Buytaert,Google is quietly recording everything you say. Here's how to hear it
Dark Scrum,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation,Alecrim/AlecrimCoreData,The Importance of Code Reviews,Firebase Test Lab for Android
Revista PROGRAMAR nº 53 - Agosto de 2016,Inteligência artificial da IBM criou 'trailer perfeito' para filme,The technology behind preview photos,1º Congresso Brasileiro de IoT - Embarcados,Evernote anuncia integração com Google Drive | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi
Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews,On DRY and the cost of wrongful abstractions,StrictMode for Runtime Analysis on Android - Google Developers,My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation
Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Inbox by Gmail ganha formatação de texto | Google Discovery,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Par de alianças impede que seu parceiro assista Netflix sem você,"No, Apple isn't the next BlackBerry - it's the next Microsoft",11 Internet of Things (IoT) Protocols You Need to Know About
Inteligência artificial da IBM criou 'trailer perfeito' para filme,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Evernote anuncia integração com Google Drive | Google Discovery,Nova pulseira tecnológica avisa se você já bebeu demais,1º Congresso Brasileiro de IoT - Embarcados
Bad Writing Is Destroying Your Company's Productivity,Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,Algorithms and architecture for job recommendations,The AI business landscape,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Do you want Crappy Agile?,Confirmed: Walmart buys Jet.com for $3B in cash
big data = real time,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Why the customer experience matters,Organizing for digital acceleration: Making a two-speed IT operating model work,A saga do jovem CEO da Dasa,Design Sprint: onde o design e a velocidade importam
Hacked Website Report - 2016/Q3,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
Containers are not VMs,19 Tips For Everyday Git Use,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",CSS Containment in Chrome 52 | Web Updates - Google Developers,"Apple's new file manager, APFS, is awesome",14 Cool Drupal 8 modules for site builders | August 2016
"Bots, Messenger and the future of customer service",What the Google I/O schedule tells us about the future of Android,"Google acquires Synergyse, an interactive training service for Google Apps",Building more accessible technology,Progressive Web App - first introduced on Google I/O | airberlin,Designing smart notifications
Vision API - Image Content Analysis,Labelling automated builds on Docker Hub - Microscaling Systems,System Code Geeks are giving away a FREE Sublime Text Editor License,Comparing React.js to Vue.js for dynamic tabular data,Modelando APIs REST com Swagger,Quick Tip: Working with the JavaScript Battery API
"Elopar lança o ""Digio"", cartão para brigar com Nubank",Bradesco vai lançar novo banco digital: o Next.,Visa lança desafio para startups de tecnologia - Startupi,Itaú é pioneiro do blockchain,Goodbye accountants! Startup builds AI to automate all your accounting,Nubank pode fechar as portas se BC confirmar mudança amanhã
Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,How to Get a Job at Google,Time to Re-Think Design Thinking,Jeff Seguros: SEGUROS E GAMES,Introducing New Relic Infrastructure
"curso de branding, diferenciação e estratégia de marca",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Branding é problema seu. E meu.,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge
Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Why Google App Engine rocks: A Google engineer's take,The AI business landscape
WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",What to Expect at WWDC 2016
Organizing for digital acceleration: Making a two-speed IT operating model work,Why Deep Learning Is Suddenly Changing Your Life,Accenture amplia atuação no Brasil,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,big data = real time,Bradesco vai lançar novo banco digital: o Next.
"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",WeChat's world,WeChat's competitor to Slack has arrived,Nintendo has doubled in value since Pokémon Go's release,"How I built an app with 500,000 users in 5 days on a $100 server",How enterprise architects can help ensure success with digital transformations
A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Sete Reinos,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Getting Started with Activity & Fragment Transitions (part 1)
Graph Capabilities with the Elastic Stack,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Scala is the new golden child
Dicas avançadas de ruby (capybara/cucumber),Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR","Agile is Dead, Long Live Continuous Delivery - Gradle",Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Promoting gender equality through emoji �� ��
Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Não existe frete grátis!,Aplicações da Inteligência artificial | Endeavor Brasil
It's The Future,Using behavioral data to improve customer satisfaction,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Scala is the new golden child
Sobre o Hipsters Ponto Tech,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Usando o git add interativo,Aplicações da Inteligência artificial | Endeavor Brasil,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,On DRY and the cost of wrongful abstractions
11 incredible ways UK businesses are using chatbots,"Telecoms open shop on Madison Avenue, but will brands buy?",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Bots won't replace apps. Better apps will replace apps.,Accidental discovery could help batteries last years longer,Gartner: em 2020 não haverá mais aplicativos
Festival de Fotografia Hercule Florence - Timeline | Facebook,Sete Reinos,Branding é problema seu. E meu.,A identidade visual de Budapeste para as Olimpíadas de 2024,Duolingo's chatbots help you learn a new language,Why Deep Learning Is Suddenly Changing Your Life
Ciclistas relatam roubos com agressividade na avenida dos Andradas,How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
Sete Reinos,Goodbye accountants! Startup builds AI to automate all your accounting,Branding é problema seu. E meu.,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Festival de Fotografia Hercule Florence - Timeline | Facebook,A identidade visual de Budapeste para as Olimpíadas de 2024
"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What to Expect at WWDC 2016
"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Tasting Dagger 2 on Android,StrictMode for Runtime Analysis on Android - Google Developers,Advanced Android Espresso,My favorite people and resources to learn Android programming from
The End Of Apps As We Know Them - Inside Intercom,An overview of web service solutions in Drupal 8,Confused by blockchains? Revolution vs Evolution,The Future of Business is Design,You won't recognize the new world of digital payments without this report,Mobile marketing statistics 2016
Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,#iLookLikeAnEngineer: One Year Later,Mulheres são mais criativas que homens?,Promoting gender equality through emoji �� ��,Criadas para casar
Using Microservices Architecture as API Enablement Strategy,Arquitetura de Microserviços habilitando APIs - Sensedia,15 minutos sobre Docker,The Best Linux Distros of 2016,Serverless real-time architecture on AWS: there is a way !,Hype Driven Development
"Don't Start Big, Start a Little Snowball","Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,The Internet of Things is looking for its VisiCalc,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack
CMN regulamenta abertura de conta de depósito por meio eletrônico,Mobile banking conquista o coração dos brasileiros,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
The compelling case to replace a 40-year old core system - Chris Skinner's blog,The Drive to Bank on Digital,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Bradesco lança serviço inédito para estimular o hábito de poupar,A identidade visual de Budapeste para as Olimpíadas de 2024
Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Transfer Style But Not Color,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Skill swarms - a new way to share expertise and work smarter together - Skillhive,Google lags behind Amazon and Microsoft's cloud in one important area,Machine Learning Is Redefining The Enterprise In 2016
Programação Reativa Funcional com RxJava,"Incrível, Skype se lembrou que o Linux existe!",StrictMode for Runtime Analysis on Android - Google Developers,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Android Developers Summer Reading List,"Fresco, sim! - Android Dev BR"
Comercial japonês cria cidade de papel com caneta que conduz eletricidade,One Dollar Board: Um projeto brasileiro para revolucionar a educação,big data = real time,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Top Programming Languages Trends: The Rise of Big Data,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Gartner Reprint,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Gartner Reprint,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Comercial japonês cria cidade de papel com caneta que conduz eletricidade
My favorite people and resources to learn Android programming from,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Advanced Android Espresso,The Importance of Code Reviews,StrictMode for Runtime Analysis on Android - Google Developers
Cia. Hering sincroniza diferentes marcas em um único portal de compras,Por que o Walmart não é Walmart no Brasil,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation
"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Making open source data more available,The barbell effect of machine learning.,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .
"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Top 5 Android Testing Frameworks with Examples,Dicas avançadas de ruby (capybara/cucumber),Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Beyond Progressive Web Apps Part 2: We Need to Know What's New,The Broken Window Theory
Touch (TV Series 2012-2013),Here's proof that Google is getting serious about battling Facebook in a key area,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Secret's founder returns with Bold, a Medium for enterprise","Hello, a nova rede social do Orkut, está liberada no Brasil"
Angular 2 versus React: There Will Be Blood - Free Code Camp,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,My favorite people and resources to learn Android programming from,Creating Your Code Review Checklist - DaedTech,Advanced Android Espresso,The Importance of Code Reviews
Docker 1.12: Now with Built-in Orchestration!,Why Is Learning Drupal Hard?,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Iniciando com o Docker: Criando suas próprias imagens - Tableless,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
Here's proof that Google is getting serious about battling Facebook in a key area,Touch (TV Series 2012-2013),The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Wide & Deep Learning: Better Together with TensorFlow,"Hello, a nova rede social do Orkut, está liberada no Brasil"
Usando o git add interativo,Sobre o Hipsters Ponto Tech,Listas com RecyclerView - Android Dev BR,The Ten Commandments of Egoless Programming,Elasticsearch: CSV exporter for Kibana Discover,Mobify report reveals impact of mobile website speed
Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Investimentos em coaching e mentoring aumentam nas empresas,Lean IT is all about people - o Lean na TI é focado em pessoas,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",The Genderbread Person v3 | It's Pronounced Metrosexual,Netflix emociona com vídeo destacando personagens LGBT,Introducing Ask a Female Engineer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge
Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Transforming life insurance with design thinking,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories
"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Wide & Deep Learning: Better Together with TensorFlow,5 reasons your employees aren't sharing their knowledge,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,Engineering Digital Banking Solutions Using UX Methodology,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Shopping app Spring's redesign could be a game-changer,"Docker - Build, Ship, and Run Any App, Anywhere",The Continuous Delivery Maturity Model
Arquitetura de Microserviços habilitando APIs - Sensedia,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,15 minutos sobre Docker,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Como testar exceções em Java com o JUnit - Code a Test
Plano nacional de ''internet das coisas'' sai em fevereiro,"Little girls doubt that women can be brilliant, study shows",JavaServer Faces 2.3 Quick Reference - DZone Java,Gartner Reprint,Scrum Community - Scrum Alliance,Chrome OS now has Material Design for the desktop
Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Cross-channel user experiences with Drupal,Dries Distributions remain a growing opportunity for Drupal - Buytaert
Cross-channel user experiences with Drupal,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The AI business landscape,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Touch (TV Series 2012-2013)
My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Jenkins 2.0 is here!,Microsoft's Open Source Love Affair Reaches New Heights,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
Chat Smarter with Allo,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Here's proof that Google is getting serious about battling Facebook in a key area,Wide & Deep Learning: Better Together with TensorFlow,The AI business landscape,5 reasons your employees aren't sharing their knowledge
"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Docker 1.12: Now with Built-in Orchestration!,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless
Este texto do Ranieri é a melhor coisa que você lerá hoje,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Agronegócio mantém crescimento com tecnologia - inova.jor
Goodbye accountants! Startup builds AI to automate all your accounting,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Banking Needs a Customer Experience Wake-Up Call,Mobile banking conquista o coração dos brasileiros,Starbucks tem mais dinheiro do cliente em cartões do que bancos
Livro: Retrospectivas Divertidas,Cinco competências comportamentais para você ser um bom líder,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,So you want to sell to banks?,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
